id,image_url,name
zavtraki_150,https://www.povarenok.ru/data/cache/2012nov/19/19/37902_98877-710x550x.jpg,"Булочки а-ля ""Капкейки"""
zavtraki_151,https://www.povarenok.ru/images/recipes/6/671/67183.jpg,Армянский лаваш
zavtraki_152,https://www.povarenok.ru/data/cache/2016aug/13/37/1674096_95624-710x550x.jpg,"Творожники ""Чистый вкус"" за 5 минут"
zavtraki_153,https://www.povarenok.ru/data/cache/2012oct/22/01/20906_60869-710x550x.jpg,"Сырный пирог ""Приворотный"""
zavtraki_154,https://www.povarenok.ru/images/recipes/15/1558/155846.jpg,Тесто для пиццы и сама пицца
zavtraki_155,https://www.povarenok.ru/data/cache/2013dec/18/30/595962_98122-710x550x.jpg,Сырные конвертики
zavtraki_156,https://www.povarenok.ru/data/cache/2015nov/08/10/1339602_59234-710x550x.jpg,Пирожки пуховые
zavtraki_157,https://www.povarenok.ru/images/recipes/42/4200/420058.jpg,Чипсы из лаваша
zavtraki_158,https://www.povarenok.ru/data/cache/2015may/08/55/1134274_17548-710x550x.jpg,Сырники из творога по ГОСТу
zavtraki_159,https://www.povarenok.ru/data/cache/2015aug/28/19/1245968_29988-710x550x.jpg,"Кекс ""Облачко"""
zavtraki_160,https://www.povarenok.ru/data/cache/2013jan/24/23/68551_40185-710x550x.jpg,Котлеты из рыбных консервов и картофеля
zavtraki_161,https://www.povarenok.ru/data/cache/2013jul/18/49/474855_76583-710x550x.jpg,Киш с грибами и сыром
zavtraki_162,https://www.povarenok.ru/data/cache/2013jun/17/04/176325_76132-710x550x.jpg,Лимонные маффины
zavtraki_163,https://www.povarenok.ru/data/cache/2016jul/06/27/1635491_91918-710x550x.jpg,"Плюшка сахарная ""Московская"""
zavtraki_164,https://www.povarenok.ru/data/cache/2013jun/17/21/176391_92862-710x550x.jpg,Будничный медово-яблочный пирог
zavtraki_165,https://www.povarenok.ru/data/cache/2014nov/27/13/948124_38925-710x550x.jpg,Яблочный пирог от бабушки Эммы
zavtraki_166,https://www.povarenok.ru/data/cache/2017jun/08/34/2037327_42716-710x550x.jpg,"Ленивые голубцы ""Самые простые"""
zavtraki_167,https://www.povarenok.ru/images/recipes/31/3140/314090.jpg,"Плавленый сыр ""Сплошное удовольствие"""
zavtraki_168,https://www.povarenok.ru/data/cache/2013oct/18/44/535092_50150-710x550x.jpg,Финский овсяный хлеб
zavtraki_169,https://www.povarenok.ru/data/cache/2013nov/10/17/557932_94481-710x550x.jpg,Крем-сыр низкокалорийный
zavtraki_170,https://www.povarenok.ru/data/cache/2013dec/18/41/595991_47874-710x550x.jpg,Быстрый штрудель
zavtraki_171,https://www.povarenok.ru/data/cache/2013jun/17/53/175311_71103-710x550x.jpg,Оладьи-пиццы
zavtraki_172,https://www.povarenok.ru/data/cache/2013jun/17/41/176456_49117-710x550x.jpg,Хачапури
zavtraki_173,https://www.povarenok.ru/data/cache/2012dec/17/59/51443_99684-710x550x.jpg,"Котлеты без мяса ""По-индийски"""
zavtraki_174,https://www.povarenok.ru/data/cache/2013jul/08/39/468235_55844-710x550x.jpg,"Пирог ""Восхитительный"""
zavtraki_175,https://www.povarenok.ru/data/cache/2012dec/17/38/51422_14420-710x550x.jpg,Сырные батончики
zavtraki_176,https://www.povarenok.ru/data/cache/2014nov/26/42/946884_84309-710x550x.jpg,Роллы с креветками
zavtraki_177,https://www.povarenok.ru/data/cache/2014feb/03/10/634218_38702-710x550x.jpg,"Пряник ""Тульский"""
zavtraki_178,https://www.povarenok.ru/data/cache/2014oct/02/07/883099_74286-710x550x.jpg,"Оладьи ""Как в детском саду"""
zavtraki_179,https://www.povarenok.ru/data/cache/2015may/19/03/1148722_97144-710x550x.jpg,Воздушный манник на кефире
zavtraki_180,https://www.povarenok.ru/data/cache/2012sep/28/25/8402_85717-710x550x.jpg,Открытый пирог на сковороде за 30 минут
zavtraki_181,https://www.povarenok.ru/data/cache/2013oct/06/46/525180_80390-710x550x.jpg,Булочки из теста с творожным сыром
zavtraki_182,https://www.povarenok.ru/data/cache/2013jul/13/18/471488_44738-710x550x.jpg,"Ватрушка ""Ярмарка"""
zavtraki_183,https://www.povarenok.ru/data/cache/2016feb/02/31/1431580_73457-710x550x.jpg,Галета к завтраку
zavtraki_184,https://www.povarenok.ru/data/cache/2015mar/14/59/1065892_73230-710x550x.jpg,Чебуреки
zavtraki_185,https://www.povarenok.ru/data/cache/2013jun/17/04/176332_54687-710x550x.jpg,Блины дрожжевые по ГОСТу
zavtraki_186,https://www.povarenok.ru/data/cache/2017jan/15/47/1878788_10990-710x550x.jpg,Техасские булочки из придорожного кафе
zavtraki_187,https://www.povarenok.ru/data/cache/2015sep/07/53/1257744_29144-710x550x.jpg,Лепешки с зеленью
zavtraki_188,https://www.povarenok.ru/data/cache/2014sep/14/53/860695_53457-710x550x.jpg,Куриная грудка бутербродная
zavtraki_189,https://www.povarenok.ru/data/cache/2013jun/17/38/175253_35700-710x550x.jpg,Творожный пирог
zavtraki_190,https://www.povarenok.ru/data/cache/2013jun/17/46/175285_88851-710x550x.jpg,"Бабушкины пышки ""Вкус детства"""
zavtraki_191,https://www.povarenok.ru/data/cache/2016jun/13/19/1611762_19535-710x550x.jpg,Запеченные баклажаны с куриным мясом
